City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Klaksvík,0,FO,1587428096,93,62.23,-6.59,41.0,3.36
Zhicheng,98,CN,1587428096,84,30.3,111.5,57.24,4.29
Albany,20,US,1587428094,31,42.6,-73.97,51.01,5.82
Cao Bang,89,VN,1587428096,77,22.67,106.25,77.63,4.45
Kavaratti,99,IN,1587427984,69,10.57,72.64,84.99,4.85
Longyearbyen,20,SJ,1587428097,62,78.22,15.64,21.2,24.16
Tres Arroyos,98,AR,1587428097,67,-38.37,-60.28,54.41,7.87
Marang,40,MY,1587428097,94,5.21,103.21,80.6,2.24
Slave Lake,1,CA,1587428097,37,55.28,-114.77,55.4,3.36
Sept-Îles,20,CA,1587428097,42,50.2,-66.38,32.0,9.17
Cidreira,0,BR,1587428097,88,-30.18,-50.21,67.57,10.87
Katsuura,75,JP,1587428098,87,35.13,140.3,64.0,3.36
Kaitangata,86,NZ,1587428098,58,-46.28,169.85,55.72,3.76
Walvis Bay,99,NA,1587428098,56,-22.96,14.51,73.4,3.36
Aklavik,90,CA,1587428098,78,68.22,-135.01,12.2,9.17
Morro Bay,40,US,1587428098,63,35.37,-120.85,63.0,18.34
Hamilton,40,US,1587428098,62,39.18,-84.53,63.0,9.17
Manakara,43,MG,1587428098,87,-22.13,48.02,70.61,2.53
Tubualá,40,PA,1587428098,49,9.52,-79.03,89.6,9.17
Porto-Novo,20,BJ,1587428098,88,6.5,2.6,82.4,8.05
Zhigansk,46,RU,1587427925,95,66.77,123.37,22.84,7.96
East London,72,ZA,1587428099,70,-33.02,27.91,70.36,11.7
Balakovo,100,RU,1587428099,84,52.03,47.8,46.83,16.55
Mossamedes,15,AO,1587428099,71,-15.2,12.15,75.87,4.47
Dikson,100,RU,1587428099,98,73.51,80.55,30.31,23.2
Jiayuguan City,97,CN,1587428099,22,39.82,98.3,44.56,2.86
Kapaa,90,US,1587428099,61,22.08,-159.32,80.6,16.11
Ojinaga,1,MX,1587428099,10,29.57,-104.42,89.6,5.82
Norman Wells,90,CA,1587428099,80,65.28,-126.83,33.8,5.82
Saldanha,100,ZA,1587428100,82,-33.01,17.94,59.0,2.24
Isangel,75,VU,1587428100,83,-19.55,169.27,82.4,3.36
Saint-Philippe,75,RE,1587428100,68,-21.36,55.77,71.6,5.82
Brae,0,GB,1587428100,100,60.4,-1.35,41.0,13.87
Krasnosel'kup,100,RU,1587428100,96,65.7,82.47,33.01,7.52
Nālūt,0,LY,1587428100,31,30.33,10.85,66.51,10.94
Belaya Gora,100,RU,1587427927,95,68.53,146.42,19.85,8.39
Bambous Virieux,40,MU,1587428100,78,-20.34,57.76,77.0,17.22
Mataura,93,NZ,1587428101,73,-46.19,168.86,57.0,5.01
Chapais,90,CA,1587428101,38,49.78,-74.85,26.6,6.93
Anori,89,BR,1587428101,78,-3.77,-61.64,78.82,1.25
Puerto Ayora,40,EC,1587428101,70,-0.74,-90.35,84.2,13.87
Port-Gentil,20,GA,1587428101,94,-0.72,8.78,78.8,6.93
Kumul,27,CN,1587428101,21,42.8,93.45,56.5,5.23
Vestmannaeyjar,90,IS,1587428101,89,63.44,-20.27,46.98,28.63
Opuwo,17,NA,1587428101,40,-18.06,13.84,68.99,4.59
Adrar,0,MR,1587428102,16,20.5,-10.07,75.81,8.08
Innisfail,53,AU,1587428102,73,-17.53,146.03,81.95,4.12
Cape Town,75,ZA,1587427959,93,-33.93,18.42,59.0,2.24
Qaanaaq,28,GL,1587428102,80,77.48,-69.36,6.48,5.75
Massakory,19,TD,1587428102,15,13.0,15.73,82.09,7.52
Ancud,20,CL,1587428102,87,-41.87,-73.82,44.6,4.7
Pacific Grove,90,US,1587428102,63,36.62,-121.92,60.8,9.17
Yumen,83,CN,1587428102,23,40.28,97.2,44.83,8.14
Tessalit,0,ML,1587428103,14,20.2,1.01,79.52,12.5
Usinsk,93,RU,1587428103,97,65.99,57.53,30.27,12.28
Palmer,99,US,1587428021,56,42.16,-72.33,50.0,2.73
Tando Jam,0,PK,1587428103,39,25.43,68.54,82.02,5.44
Wilmington,40,US,1587427917,63,34.23,-77.94,60.8,5.82
Umm Hājar,56,TD,1587428103,14,13.3,19.7,80.55,7.9
Kanigoro,93,ID,1587428103,78,-8.13,112.22,79.0,2.66
Tecpan,20,GT,1587428103,64,14.76,-90.99,75.2,11.41
Olinda,75,BR,1587428103,78,-8.01,-34.86,80.6,6.93
Arrondissement de Saint-Gaudens,100,FR,1587428104,100,43.08,0.67,55.99,2.24
Harlingen,1,US,1587427812,38,26.19,-97.7,89.6,18.34
Lebu,29,CL,1587428104,73,-37.62,-73.65,55.51,15.32
Pevek,100,RU,1587428104,93,69.7,170.31,8.92,7.9
Leningradskiy,1,RU,1587428104,90,69.38,178.42,13.78,10.07
Severo-Kuril'sk,80,RU,1587428104,91,50.68,156.12,32.94,3.98
Bougouni,78,ML,1587428104,58,11.42,-7.48,81.46,3.49
Port Keats,29,AU,1587428104,70,-14.25,129.55,85.26,3.6
Honiara,75,SB,1587427936,70,-9.43,159.95,87.8,4.7
Lata,35,PT,1587428105,90,40.16,-8.33,50.0,3.94
Sheltozero,50,RU,1587428105,88,61.37,35.37,34.48,4.9
Avarua,4,CK,1587428018,74,-21.21,-159.78,84.2,13.87
Saint Anthony,75,US,1587427940,40,45.02,-93.22,51.8,25.28
Bristol,1,US,1587427876,45,41.83,-71.17,45.0,3.36
Noumea,90,NC,1587427853,94,-22.28,166.46,78.01,10.29
Amuntai,65,ID,1587428105,85,-2.42,115.25,79.81,0.69
Listvyanskiy,0,RU,1587428105,65,54.44,83.5,46.85,6.96
Saskylakh,84,RU,1587427926,97,71.92,114.08,24.49,10.07
Sioux Lookout,75,CA,1587427918,79,50.1,-91.92,23.0,14.99
Rovaniemi,32,FI,1587428051,59,66.5,25.72,37.4,6.93
Santa Cruz de la Sierra,20,BO,1587427984,69,-17.8,-63.17,80.6,3.36
Deputatsky,100,RU,1587428106,91,69.3,139.9,15.82,4.76
San Patricio,5,MX,1587428106,74,19.22,-104.7,86.0,17.22
Mahajanga,20,MG,1587428106,88,-15.72,46.32,71.6,3.36
Bredasdorp,100,ZA,1587428106,63,-34.53,20.04,62.6,4.7
Roald,0,NO,1587428106,93,62.58,6.13,42.01,6.93
Karratha,83,AU,1587428107,61,-20.74,116.85,83.43,7.05
Castro,1,BR,1587427927,62,-24.79,-50.01,56.46,2.62
Tiruchchendur,87,IN,1587428107,76,8.48,78.12,83.35,7.18
Pahrump,64,US,1587427937,32,36.21,-115.98,73.0,5.01
Lākheri,81,IN,1587428107,36,25.67,76.17,76.69,3.2
Palu,13,ID,1587427813,69,-0.89,119.87,82.69,1.59
George Town,20,MY,1587428107,94,5.41,100.34,80.6,1.12
Geraldton,2,AU,1587428107,82,-28.77,114.6,57.2,10.29
Mar del Plata,40,AR,1587428108,88,-38.0,-57.56,62.6,8.05
Kavieng,71,PG,1587428108,68,-2.57,150.8,84.83,4.34
Chokurdakh,100,RU,1587428108,97,70.63,147.92,22.24,6.04
Arraial do Cabo,1,BR,1587428108,74,-22.97,-42.03,74.43,6.11
Yulara,40,AU,1587428108,49,-25.24,130.99,73.4,8.05
Fortuna,68,US,1587428108,79,40.6,-124.16,55.99,1.01
Esperance,11,AU,1587428108,82,-33.87,121.9,57.2,10.29
Buala,64,SB,1587428108,74,-8.14,159.59,84.43,6.6
Provideniya,64,RU,1587428108,73,64.38,-173.3,23.0,8.95
Lüderitz,3,NA,1587428109,68,-26.65,15.16,64.4,6.93
Plouzané,90,FR,1587428109,93,48.38,-4.62,51.8,5.82
Ossora,70,RU,1587428109,88,59.24,163.07,21.72,7.61
Jalu,0,LY,1587428109,17,29.03,21.55,77.61,15.05
Qaryat Sulūq,0,LY,1587428109,23,31.67,20.25,74.62,13.89
Los Llanos de Aridane,40,ES,1587428109,68,28.66,-17.92,66.2,21.92
Akureyri,43,IS,1587428109,75,65.68,-18.09,44.6,13.87
Husavik,56,IS,1587428109,75,66.04,-17.34,44.6,13.87
Safonovo,10,RU,1587428109,89,55.15,33.22,31.78,6.51
Port Moresby,40,PG,1587428110,83,-9.44,147.18,82.4,5.82
Westport,1,US,1587428110,57,41.14,-73.36,51.01,3.36
Ranfurly,87,NZ,1587428110,57,-45.13,170.1,53.01,1.01
Kailua,20,US,1587428110,45,21.4,-157.74,86.0,9.17
Port Hardy,75,CA,1587428110,76,50.7,-127.42,51.8,9.17
Khatanga,100,RU,1587428110,96,71.97,102.5,27.36,4.59
Ust-Maya,0,RU,1587428110,88,60.42,134.53,23.22,3.2
Cherskiy,100,RU,1587428111,94,68.75,161.3,14.41,7.52
Kerema,55,PG,1587428111,77,-7.96,145.78,83.1,2.93
Beira,0,MZ,1587428111,88,-19.84,34.84,71.6,4.7
Ribeira Grande,75,PT,1587428111,77,38.52,-28.7,62.6,20.8
Yambio,42,SS,1587428111,77,4.57,28.4,68.09,3.85
Tacuarembó,0,UY,1587428111,62,-31.73,-55.98,64.67,2.1
Inírida,25,CO,1587428111,89,3.87,-67.92,74.97,1.66
Skjervøy,100,NO,1587428111,94,70.03,20.97,39.09,16.78
Umeå,0,SE,1587427883,87,63.83,20.26,37.0,3.36
Chokwé,0,MZ,1587428112,95,-24.53,32.98,66.96,4.45
Farsund,0,NO,1587428112,65,58.09,6.8,46.0,1.99
Port Shepstone,7,ZA,1587428112,84,-30.74,30.45,71.91,17.18
Atkinson,1,US,1587428112,36,42.84,-71.15,46.4,3.36
Tena,75,EC,1587428112,70,-0.98,-77.82,84.2,2.24
Vilhena,75,BR,1587427819,94,-12.74,-60.15,73.4,3.36
Pangai,40,TO,1587428113,74,-19.8,-174.35,84.2,11.41
Kiryat Gat,1,IL,1587428113,74,31.61,34.76,62.01,3.42
Chui,0,UY,1587428113,73,-33.7,-53.46,67.1,2.91
Darhan,0,MN,1587428113,50,49.49,105.92,31.66,6.24
Shreveport,1,US,1587427562,64,32.53,-93.75,71.6,1.43
Saint Paul Harbor,90,US,1587428088,87,57.79,-152.41,44.6,10.29
Nishihara,90,JP,1587428113,88,26.18,127.76,68.0,5.82
Auki,59,SB,1587428113,70,-8.77,160.7,84.67,5.97
Horsham,63,GB,1587428114,66,51.06,-0.33,52.0,11.41
Tagusao,82,PH,1587428114,70,9.19,117.81,84.63,7.23
Lagoa,97,PT,1587428114,72,39.05,-27.98,60.1,20.49
Bethel,1,US,1587428114,32,41.37,-73.41,51.8,4.7
Chernyshevskiy,54,RU,1587428114,92,63.01,112.47,26.92,6.62
Moussoro,36,TD,1587428114,13,13.64,16.49,84.13,9.53
Freeport,1,US,1587427981,70,40.66,-73.58,54.0,8.05
Riyadh,90,SA,1587428028,82,24.69,46.72,66.2,2.91
Kemijärvi,65,FI,1587428115,95,66.71,27.43,27.95,3.15
Broken Hill,100,AU,1587428115,48,-31.95,141.43,62.6,8.05
Motala,0,SE,1587428115,75,58.54,15.04,42.8,6.08
Waingapu,38,ID,1587428115,78,-9.66,120.26,82.04,9.64
Matamoros,40,MX,1587428115,8,25.53,-103.25,95.0,9.17
Hofn,87,IS,1587428115,84,64.25,-15.21,45.84,3.04
Bilibino,90,RU,1587428115,85,68.05,166.44,7.03,3.65
Jaisalmer,2,IN,1587428116,26,26.91,70.92,81.18,3.42
Banda Aceh,75,ID,1587428048,80,5.56,95.32,81.05,5.08
Benghazi,0,LY,1587427898,30,32.12,20.07,74.43,15.37
Béoumi,40,CI,1587428116,74,7.67,-5.58,78.8,3.13
Wanning,82,CN,1587428116,84,18.8,110.4,79.81,10.33
Eilat,0,IL,1587428116,54,29.56,34.95,70.88,6.2
Spišská Belá,0,SK,1587428116,68,49.19,20.46,30.2,2.24
Iqaluit,75,CA,1587428116,64,63.75,-68.51,0.0,14.99
São Filipe,2,CV,1587428117,77,14.9,-24.5,72.45,13.15
Nikolskoye,75,RU,1587428117,80,59.7,30.79,41.0,6.71
Witu,100,KE,1587428117,84,-2.39,40.44,79.41,9.22
Karpathos,100,GR,1587428104,87,35.51,27.21,60.8,6.93
Baruun-Urt,3,MN,1587428117,59,46.68,113.28,22.98,21.88
Metro,31,ID,1587428118,86,-5.11,105.31,77.95,1.1
Semnan,0,IR,1587428118,31,35.57,53.4,62.4,2.53
Olafsvik,100,IS,1587428118,87,64.89,-23.71,45.46,16.87
Whyalla,0,AU,1587428118,72,-33.03,137.58,60.8,9.17
Kundiawa,19,PG,1587428118,31,-6.02,144.97,76.24,3.53
Alès,100,FR,1587428118,95,44.13,4.08,57.99,3.0
Comodoro Rivadavia,0,AR,1587428118,46,-45.87,-67.5,53.6,6.93
Kananga,93,CD,1587428119,79,-5.9,22.42,69.21,1.9
Sitka,90,US,1587428119,93,57.05,-135.33,44.6,12.75
Ilulissat,55,GL,1587428119,58,69.22,-51.1,28.4,4.7
Atar,0,MR,1587428119,19,20.52,-13.05,71.94,9.78
Telšiai,13,LT,1587428119,91,55.98,22.25,36.3,5.91
Zheleznodorozhnyy,0,RU,1587428119,74,55.75,38.0,35.6,8.95
Micheweni,99,TZ,1587428120,75,-4.97,39.83,82.85,15.84
Terney,100,RU,1587428120,86,45.05,136.61,40.44,3.78
Busselton,23,AU,1587428120,73,-33.65,115.33,62.01,11.05
Hualmay,9,PE,1587428120,77,-11.1,-77.61,70.29,7.76
Puerto Gaitán,37,CO,1587428120,52,4.31,-72.08,84.52,4.72
Tasiilaq,100,GL,1587428120,87,65.61,-37.64,35.6,13.87
Lorengau,13,PG,1587428120,67,-2.02,147.27,85.28,4.25
Morón,0,AR,1587427921,77,-34.65,-58.62,73.0,4.7
Ixtapa,5,MX,1587428121,73,20.7,-105.2,77.0,11.41
Itarema,59,BR,1587428121,86,-2.92,-39.92,78.4,6.08
Newtownards,0,GB,1587428121,65,54.59,-5.69,46.4,18.34
Broome,1,US,1587428121,38,42.25,-75.83,46.0,4.7
São Paulo de Olivença,98,BR,1587428121,93,-3.38,-68.87,74.48,0.76
Buin,62,CL,1587428121,23,-33.73,-70.75,77.0,8.05
Jertih,20,MY,1587428122,94,5.73,102.49,78.8,1.12
Nanortalik,86,GL,1587428122,88,60.14,-45.24,31.37,3.89
Naze,75,JP,1587428122,77,28.37,129.48,68.0,5.82
Coquimbo,90,CL,1587428122,87,-29.95,-71.34,60.8,4.7
Tazovsky,100,RU,1587428122,98,67.47,78.7,32.97,9.06
Vardø,100,NO,1587428122,80,70.37,31.11,36.41,23.09
Bentiu,69,SS,1587428123,35,9.23,29.83,84.24,5.12
Traverse City,90,US,1587428123,70,44.76,-85.62,46.4,19.46
Saint-Joseph,75,RE,1587428123,68,-21.37,55.62,71.6,5.82
Leeds,0,GB,1587428123,89,53.8,-1.55,46.0,1.99
Nouadhibou,0,MR,1587428124,72,20.93,-17.03,66.2,23.04
Kidal,67,ML,1587428124,15,18.44,1.41,86.41,16.55
Manadhoo,96,MV,1587428124,68,5.77,73.38,85.89,5.91
San Matías,57,BO,1587428124,74,-16.37,-58.4,78.04,0.96
Namatanai,72,PG,1587428124,66,-3.67,152.43,84.6,2.06
Lufilufi,75,WS,1587428124,83,-13.87,-171.6,80.6,4.7
Firozpur,40,IN,1587428125,82,30.92,74.6,62.6,2.8
Vostok,100,RU,1587428125,59,46.49,135.88,39.11,4.03
Asău,31,RO,1587428125,59,46.43,26.4,37.4,4.7
Southbridge,1,US,1587428125,28,42.08,-72.03,46.4,4.7
Khovd,22,MN,1587428125,33,48.01,91.64,39.72,0.72
Arlit,1,NE,1587428126,11,18.74,7.39,84.97,2.48
Rovinj,100,HR,1587428126,38,45.08,13.64,60.8,21.92
Zabaykal'sk,100,RU,1587428126,78,49.63,117.32,20.98,25.34
Cerrito,89,CO,1587428126,48,6.84,-72.69,52.57,0.83
Bilma,1,NE,1587428126,13,18.69,12.92,81.9,3.44
Upernavik,100,GL,1587428127,90,72.79,-56.15,28.81,3.02
Paredon,11,MX,1587428127,60,16.03,-93.87,84.97,4.88
Dubbo,90,AU,1587427848,67,-32.25,148.62,62.6,4.7
Salalah,75,OM,1587428127,74,17.02,54.09,82.4,5.82
Smithers,20,CA,1587428127,27,54.78,-127.17,64.4,21.92
Namikupa,59,TZ,1587428127,90,-10.83,39.6,68.47,2.93
Abonnema,48,NG,1587428127,85,4.71,6.79,79.34,3.58
Maricá,20,BR,1587428127,78,-22.92,-42.82,73.4,10.29
Laizhou,49,CN,1587428128,47,37.18,119.93,47.1,21.9
Tuktoyaktuk,90,CA,1587428128,84,69.45,-133.04,8.6,9.17
Vila Velha,66,BR,1587428128,78,-20.33,-40.29,75.2,8.05
Bay Roberts,45,CA,1587428128,31,47.6,-53.26,37.0,3.0
Bizhbulyak,100,RU,1587428128,79,53.7,54.26,44.24,12.15
Ust-Nera,87,RU,1587428128,81,64.57,143.2,13.17,2.28
Mana,100,GF,1587428128,89,5.66,-53.78,77.09,6.29
Ucluelet,75,CA,1587427950,66,48.93,-125.55,55.0,8.05
Ahipara,100,NZ,1587428129,90,-35.17,173.17,64.02,2.89
Sedlčany,0,CZ,1587428129,54,49.66,14.43,44.01,4.0
Pokhara,100,NP,1587427929,36,28.23,83.98,62.2,3.22
Burē,94,ET,1587428129,17,10.7,37.07,61.95,4.68
Inhambane,1,MZ,1587428129,82,-23.86,35.38,73.35,5.57
Tuyan,3,PH,1587428129,59,6.0,125.28,85.84,3.83
Port Macquarie,1,AU,1587427843,74,-31.43,152.92,64.99,1.16
Saint George,1,US,1587428003,25,37.1,-113.58,75.0,6.93
San Luis de la Paz,5,MX,1587428130,21,21.3,-100.52,89.01,10.29
Semey,0,KZ,1587428130,80,50.41,80.23,33.8,7.92
Toktogul,0,KG,1587428130,29,41.87,72.94,53.85,5.12
Socorro,40,US,1587428130,10,31.65,-106.3,82.4,18.34
Anuchino,100,RU,1587428130,83,43.96,133.05,32.85,8.9
Fairbanks,90,US,1587428015,87,64.84,-147.72,44.01,4.7
Bathsheba,75,BB,1587428131,88,13.22,-59.52,77.0,18.34
Bagdarin,2,RU,1587428131,69,54.43,113.6,19.56,8.77
Dunedin,92,NZ,1587428131,62,-45.87,170.5,59.0,10.0
Pabradė,62,LT,1587428131,69,55.0,25.78,39.99,4.7
Caniço,20,PT,1587428131,55,32.63,-16.85,62.6,5.82
Nyimba,90,ZM,1587428131,57,-14.56,30.81,64.47,3.4
Hilo,1,US,1587428132,54,19.73,-155.09,82.4,18.34
Tiksi,95,RU,1587428132,95,71.69,128.87,22.75,2.86
Hong Kong,20,HK,1587428114,74,22.29,114.16,81.0,4.7
Sīrjān,99,IR,1587428132,40,29.45,55.68,60.91,6.38
Qasigiannguit,26,GL,1587428132,58,68.82,-51.19,28.4,4.7
Anadyr,9,RU,1587428133,78,64.75,177.48,14.0,6.71
Torbay,75,CA,1587428133,74,47.67,-52.73,39.0,17.22
Porto Velho,40,BR,1587428133,94,-8.76,-63.9,78.8,3.36
Vagay,100,RU,1587428133,91,57.94,69.02,40.57,6.6
Tsumeb,0,NA,1587428133,32,-19.23,17.72,62.08,7.43
Las Tunas,75,CU,1587428133,45,20.96,-76.95,87.8,13.87
Pangnirtung,100,CA,1587428134,93,66.15,-65.71,19.04,2.39
Tayu,74,ID,1587428134,79,-6.54,111.05,81.28,5.26
Wittlich,1,DE,1587428134,39,49.98,6.88,50.0,20.8
Tuatapere,99,NZ,1587428134,73,-46.13,167.68,57.0,5.01
Astara,75,AZ,1587428134,100,38.5,48.67,53.6,4.27
Yarim,98,YE,1587428134,41,14.3,44.38,53.26,2.95
Amapá,100,BR,1587427986,94,1.0,-52.0,72.64,2.8
Katobu,25,ID,1587428135,73,-4.94,122.53,82.72,2.89
Bambari,90,CF,1587428135,79,5.77,20.68,73.18,3.87
Lavrentiya,88,RU,1587428135,91,65.58,-171.0,18.82,7.11
Saint-Pierre,75,RE,1587428135,68,-21.34,55.48,71.6,5.82
Koumra,46,TD,1587428135,48,8.91,17.55,81.03,4.43
Srednekolymsk,95,RU,1587428135,95,67.45,153.68,18.45,10.87
Paamiut,69,GL,1587428136,89,61.99,-49.67,27.54,7.0
Aktash,2,RU,1587427925,42,50.3,87.73,28.58,1.77
Ambilobe,85,MG,1587428136,81,-13.2,49.05,71.2,5.39
Nantucket,1,US,1587428136,77,41.28,-70.1,42.8,13.87
Gaza,1,PS,1587428136,74,31.5,34.47,59.0,5.3
Vršac,80,RS,1587428136,61,45.12,21.3,50.0,3.36
Gusau,73,NG,1587428136,39,12.16,6.66,82.45,6.08
Doha,75,QA,1587427853,69,25.29,51.53,80.01,2.24
Awjilah,0,LY,1587428137,17,29.11,21.29,77.76,15.48
Sur,41,OM,1587428137,46,22.57,59.53,84.54,5.39
Murupara,100,NZ,1587428137,77,-38.47,176.7,64.99,1.01
Najrān,90,SA,1587428138,100,17.49,44.13,62.6,9.17
São José da Coroa Grande,12,BR,1587428138,83,-8.9,-35.15,80.06,9.42
Baza,42,ES,1587428138,77,37.49,-2.77,46.0,11.99
College,90,US,1587428138,81,64.86,-147.8,44.01,0.56
Bintulu,75,MY,1587428138,94,3.17,113.03,75.2,2.24
Limbuhan,91,PH,1587428138,73,11.88,124.05,83.77,11.23
Arrecife,40,ES,1587428139,72,28.96,-13.55,66.2,11.41
Zuwārah,1,LY,1587428139,47,32.93,12.08,71.85,12.5
Rodrigues Alves,27,BR,1587428139,62,-7.74,-72.65,74.43,0.22
Charters Towers,25,AU,1587428139,58,-20.1,146.27,80.55,8.55
Carnarvon,75,AU,1587428139,60,-24.87,113.63,68.0,12.75
Kapoeta,33,SS,1587428139,47,4.77,33.59,78.98,2.33
Natalio,0,PY,1587428139,55,-26.72,-55.08,67.08,2.26
Faanui,95,PF,1587428140,78,-16.48,-151.75,81.82,17.65
Bucerías,5,MX,1587428140,73,20.75,-105.33,77.0,11.41
Ibrā’,82,OM,1587428140,30,22.69,58.53,81.43,0.96
Oranjestad,20,AW,1587428140,69,12.52,-70.03,82.4,23.04
Blairmore,1,CA,1587428140,31,49.6,-114.44,62.6,27.51
Kirensk,0,RU,1587428140,83,57.79,108.11,30.45,2.55
Belmonte,75,BR,1587428140,78,-15.86,-38.88,77.0,6.93
Kupino,83,RU,1587428141,67,54.37,77.3,52.7,10.16
Tuy Hoa,81,VN,1587427906,81,13.08,109.3,78.21,3.47
Manatí,16,PR,1587428141,82,18.43,-66.49,79.0,11.36
Faya,31,SA,1587428141,71,18.39,42.45,60.8,4.7
Santa Fe,0,AR,1587428141,67,-31.63,-60.7,75.0,1.01
Ngunguru,100,NZ,1587428141,99,-35.62,174.5,64.0,5.01
Hervey Bay,3,AU,1587428141,72,-25.3,152.85,79.0,7.0
Sainte-Maxime,20,FR,1587428142,93,43.3,6.63,57.2,3.36
Grindavik,90,IS,1587428142,100,63.84,-22.43,46.4,26.4
Barbacoas,85,CO,1587428142,86,1.67,-78.14,76.73,0.85
Korla,77,CN,1587428142,50,41.76,86.15,57.99,7.0
Ostrovnoy,96,RU,1587428142,97,68.05,39.51,31.24,19.17
Padang,35,ID,1587428142,72,-0.95,100.35,79.48,4.23
Arandis,86,NA,1587428143,89,-22.42,14.97,62.01,1.99
Zdvinsk,66,RU,1587428143,74,54.7,78.66,48.87,8.55
Victoria Point,20,AU,1587428143,47,-27.58,153.3,79.0,9.17
Aykhal,0,RU,1587428143,83,66.0,111.5,27.57,6.51
Lakes Entrance,30,AU,1587428143,57,-37.88,147.98,64.0,3.0
Rādhanpur,0,IN,1587428143,73,23.83,71.6,80.65,9.51
San Miguel de Tucumán,0,AR,1587428143,69,-26.82,-65.22,75.2,4.7
São João da Barra,1,BR,1587427921,86,-21.64,-41.05,70.65,8.95
Nichlaul,100,IN,1587428144,41,27.32,83.73,76.93,10.31
Poum,12,NC,1587428144,78,-20.23,164.02,78.3,13.69
Newport,22,GB,1587428144,78,51.59,-3.0,48.0,1.99
Daru,82,PG,1587428144,79,-9.08,143.21,82.94,9.78
Huilong,100,CN,1587428144,92,31.81,121.66,54.0,4.85
Saint-Augustin,83,CA,1587428144,98,51.23,-58.65,30.38,7.67
Puerto Colombia,90,CO,1587428144,78,10.99,-74.95,82.4,13.87
